zscore,pscore,hindex
0.9315105113,0.1023126771,0.6587544673
0.9266512263,0.1023126771,0.6587544673
0.921813724,0.09466547143,0.6587544673
0.9169976979,0.09466547143,0.6587544673
0.9122028473,0.09466547143,0.6190421412
0.9074288777,0.08701826578,0.6190421412
0.9026755,0.07937106014,0.6190421412
0.897942431,0.07937106014,0.6190421412
0.8932293926,0.07172385449,0.6190421412
0.8885361122,0.07172385449,0.6190421412
0.8838623223,0.05642944319,0.6190421412
0.8792077606,0.05642944319,0.6190421412
0.8745721693,0.05642944319,0.6190421412
0.8699552957,0.04878223754,0.6190421412
0.8653568915,0.04113503189,0.6190421412
0.8607767132,0.03348782625,0.5793298151
0.8562145216,0.03348782625,0.5793298151
0.8516700816,0.0258406206,0.5793298151
0.8471431625,0.0258406206,0.539617489
0.8426335378,0.01819341495,0.539617489
0.8381409846,0.002899003653,0.539617489
0.8336652844,0.002899003653,0.539617489
0.8292062221,-0.004748201996,0.539617489
0.8247635864,-0.004748201996,0.4999051629
0.8203371698,-0.004748201996,0.4999051629
0.8159267681,-0.004748201996,0.4999051629
0.8115321807,-0.01239540764,0.4999051629
0.8071532104,-0.01239540764,0.4601928368
0.8027896631,-0.02004261329,0.4601928368
0.7984413481,-0.02004261329,0.4601928368
0.7941080777,-0.02768981894,0.4601928368
0.7897896675,-0.02768981894,0.4601928368
0.7854859358,-0.03533702459,0.4601928368
0.781196704,-0.03533702459,0.4601928368
0.7769217964,-0.04298423024,0.4601928368
0.77266104,-0.04298423024,0.4204805107
0.7684142646,-0.04298423024,0.4204805107
0.7641813025,-0.04298423024,0.4204805107
0.759961989,-0.04298423024,0.4204805107
0.7557561616,-0.04298423024,0.4204805107
0.7515636605,-0.05827864153,0.4204805107
0.7473843283,-0.05827864153,0.3807681846
0.7432180099,-0.05827864153,0.3807681846
0.7390645526,-0.06592584718,0.3807681846
0.7349238062,-0.06592584718,0.3807681846
0.7307956225,-0.06592584718,0.3807681846
0.7266798555,-0.07357305283,0.3807681846
0.7225763614,-0.07357305283,0.3807681846
