Name,Entity Id,Rank type,Rank value,Time span
ACC,1190039108,Publications,59,One Year
GIR,1204605585,Publications,60,One Year
IJCAI,1203999783,Publications,61,One Year
SAC,2753968298,Publications,62,One Year
CIT,1120281879,Publications,63,One Year
INFOCOM,1143723981,Publications,64,One Year
CHI,1163450153,Publications,65,One Year
NAACL,1173951661,Publications,66,One Year
BIOINFORMATICS,1199066382,Publications,67,One Year
SIU,2735422400,Publications,68,One Year
CI,1120693805,Publications,69,One Year
UbiComp,1171345118,Publications,70,One Year
EACL,1188587990,Publications,71,One Year
iiWAS,2625663801,Publications,72,One Year
AJIM,2754050703,Publications,73,One Year
ICSCA,2898386331,Publications,74,One Year
ICDSM,2898495809,Publications,75,One Year
ICDS,2898609575,Publications,76,One Year
ACIIDS,1123338449,Publications,77,One Year
KDIR,1128718661,Publications,78,One Year
CVPR,1158167855,Publications,79,One Year
COLING,1169674987,Publications,80,One Year
SMC,1170695740,Publications,81,One Year
ICWE,1186729694,Publications,82,One Year
SISAP,1187155619,Publications,83,One Year
DEXA,1192664773,Publications,84,One Year
KEOD,1194587682,Publications,85,One Year
ICoAC,2621703292,Publications,86,One Year
WebSci,2626098776,Publications,87,One Year
ICoICT,2735555832,Publications,88,One Year
BigMM,2754030025,Publications,89,One Year
ICCUBEA,2754310457,Publications,90,One Year
BigComp,2756267278,Publications,91,One Year
ICNLP,2898139291,Publications,92,One Year
WISA,1122308263,Publications,93,One Year
ICIC,1134271186,Publications,94,One Year
BIBM,1156210184,Publications,95,One Year
WAIM,1173521070,Publications,96,One Year
ICNC,2622723275,Publications,97,One Year
IIAIAAI,2754506284,Publications,98,One Year
ICIMIA,2755585131,Publications,99,One Year
DCMA,2755825106,Publications,100,One Year
SIGIR,1140684652,H-Index,1,One Year
WSDM,1120384002,H-Index,2,One Year
ASIST,2537396833,H-Index,3,One Year
ACL,1188739475,H-Index,4,One Year
CIKM,1194094125,H-Index,5,One Year
WWW,1135342153,H-Index,6,One Year
ESWC,1180003657,H-Index,7,One Year
ECIR,1180513217,H-Index,8,One Year
AAAI,1184914352,H-Index,9,One Year
CHIIR,2626279626,H-Index,10,One Year
MMM,1123621769,H-Index,11,One Year
VLDB,1133523790,H-Index,12,One Year
RecSys,1134284382,H-Index,13,One Year
MM,1135237122,H-Index,14,One Year
CLEF,1156586875,H-Index,15,One Year
CVPR,1158167855,H-Index,16,One Year
JCDL,1169258207,H-Index,17,One Year
EMNLP,1192655580,H-Index,18,One Year
SOCO,1123077274,H-Index,19,One Year
ICDAR,1150099070,H-Index,20,One Year
ISWC,1155608529,H-Index,21,One Year
ICDE,1163988186,H-Index,22,One Year
LREC,1164963593,H-Index,23,One Year
ICDKE,1168542559,H-Index,24,One Year
IUI,1170221290,H-Index,25,One Year
SIGMOD,1175089206,H-Index,26,One Year
IJCAI,1203999783,H-Index,27,One Year
UMAP,2754031194,H-Index,28,One Year
ICWSM,1124713781,H-Index,29,One Year
EDBT,1132593990,H-Index,30,One Year
IIS,1140961231,H-Index,31,One Year
ISMIR,1144674403,H-Index,32,One Year
ICPC,1159024683,H-Index,33,One Year
GIScience,1160834642,H-Index,34,One Year
ICSM,1160919455,H-Index,35,One Year
CHI,1163450153,H-Index,36,One Year
ICCV,1164975091,H-Index,37,One Year
K-CAP,1166500626,H-Index,38,One Year
ASE,1166511975,H-Index,39,One Year
IRCDL,1168262657,H-Index,40,One Year
ICSE,1174403976,H-Index,41,One Year
DASFAA,1184699546,H-Index,42,One Year
EACL,1188587990,H-Index,43,One Year
FSE,1199533187,H-Index,44,One Year
WI,1200067787,H-Index,45,One Year
CBMI,1204255636,H-Index,46,One Year
ICADL,1204638610,H-Index,47,One Year
MMSys,2250491939,H-Index,48,One Year
TREC,2534788800,H-Index,49,One Year
Big Data,2623113034,H-Index,50,One Year
I-SEMANTICS,2625637742,H-Index,51,One Year
SAC,2753968298,H-Index,52,One Year
SANER,2754456056,H-Index,53,One Year
ECML,2755314191,H-Index,54,One Year
ICTIR,2756630716,H-Index,55,One Year
TPDL,2898296047,H-Index,56,One Year
CI,1120693805,H-Index,57,One Year
ICASSP,1121227772,H-Index,58,One Year
MTSR,1121935577,H-Index,59,One Year
ECCV,1124077590,H-Index,60,One Year
ICME,1126322613,H-Index,61,One Year
NeurIPS,1127325140,H-Index,62,One Year
NLDB,1128394114,H-Index,63,One Year
